,1. open,2. high,3. low,4. close,5. volume
2022-04-06,1073.4700,1079.0000,1027.7000,1045.7600,29782845
2022-04-05,1136.3000,1152.8700,1087.3000,1091.2600,26192187
2022-04-04,1089.3800,1149.9100,1072.5300,1145.4500,27392567
2022-04-01,1081.1500,1094.7500,1066.6400,1084.5900,18087741
2022-03-31,1094.5700,1103.1399,1076.6410,1077.6000,16330919
2022-03-30,1091.1700,1113.9500,1084.0000,1093.9900,19955002
2022-03-29,1107.9900,1114.7700,1073.1100,1099.5700,24538273
2022-03-28,1065.1000,1097.8799,1053.6000,1091.8400,34168693
2022-03-25,1008.0000,1021.7999,997.3201,1010.6400,20496893
2022-03-24,1009.7300,1024.4900,988.8000,1013.9200,22973626
2022-03-23,979.9400,1040.7000,976.4000,999.1100,40225383
2022-03-22,930.0000,997.8600,921.7500,993.9800,34882278
2022-03-21,914.9800,942.8500,907.0900,921.1600,26640958
2022-03-18,874.4900,907.8500,867.3900,905.3900,33443159
2022-03-17,830.9900,875.0000,825.7178,871.6000,22194324
2022-03-16,809.0000,842.0000,802.2601,840.2300,28009607
2022-03-15,775.2700,805.5700,756.5700,801.8900,22280381
2022-03-14,780.6100,800.7000,756.0400,766.3700,23717421
2022-03-11,840.1970,843.8020,793.7700,795.3500,22345722
2022-03-10,851.4500,854.4500,810.3601,838.3000,19549548
2022-03-09,839.4800,860.5600,832.0100,858.9700,19727993
2022-03-08,795.5300,849.9900,782.1700,824.4000,26799702
2022-03-07,856.3000,866.1400,804.5700,804.5800,24164724
2022-03-04,849.1000,855.6500,825.1609,838.2900,22393287
2022-03-03,878.7700,886.4390,832.6001,839.2900,20541169
2022-03-02,872.1300,886.4800,844.2721,879.8900,24881146
2022-03-01,869.6800,889.8800,853.7800,864.3700,24922287
2022-02-28,815.0100,876.8600,814.7075,870.4300,33002289
2022-02-25,809.2300,819.5000,782.4005,809.8700,25355921
2022-02-24,700.3900,802.4800,700.0000,800.7700,45107425
2022-02-23,830.4300,835.2997,760.5600,764.0400,31752336
2022-02-22,834.1300,856.7338,801.1001,821.5300,27387874
2022-02-18,886.0000,886.8700,837.6100,856.9800,22833947
2022-02-17,913.2600,918.4999,874.1000,876.3500,18392806
2022-02-16,914.0500,926.4299,901.2100,923.3900,17098132
2022-02-15,900.0000,923.0000,893.3774,922.4300,19216514
2022-02-14,861.5700,898.8799,853.1500,875.7600,22585472
2022-02-11,909.6300,915.9600,850.7000,860.0000,26548623
2022-02-10,908.3700,943.8100,896.7000,904.5500,22042277
2022-02-09,935.0000,946.2699,920.0000,932.0000,17419848
2022-02-08,905.5300,926.2899,894.8000,922.0000,16909671
2022-02-07,923.7900,947.7700,902.7089,907.3400,20331488
2022-02-04,897.2200,936.5000,881.1700,923.3200,24541822
2022-02-03,882.0000,937.0000,880.5200,891.1400,26285186
2022-02-02,928.1800,931.5000,889.4100,905.6600,22264345
2022-02-01,935.2100,943.7000,905.0000,931.2500,24379446
2022-01-31,872.7100,937.9900,862.0500,936.7200,34812032
2022-01-28,831.5600,857.5000,792.0100,846.3500,44929650
2022-01-27,933.3600,935.3900,829.0000,829.1000,49036523
2022-01-26,952.4300,987.6900,906.0000,937.4100,34955761
2022-01-25,914.2000,951.2600,903.2100,918.4000,28865302
2022-01-24,904.7600,933.5131,851.4700,930.0000,50791714
2022-01-21,996.3400,1004.5500,940.5000,943.9000,34472009
2022-01-20,1009.7300,1041.6600,994.0000,996.2700,23496248
2022-01-19,1041.7050,1054.6699,995.0000,995.6500,24870215
2022-01-18,1026.6050,1070.7899,1016.0600,1030.5100,22158412
2022-01-14,1019.8800,1052.0000,1013.3788,1049.6100,24308137
2022-01-13,1109.0650,1115.6000,1026.5391,1031.5600,32403264
2022-01-12,1078.8500,1114.8400,1072.5901,1106.2200,27913005
2022-01-11,1053.6700,1075.8500,1038.8200,1064.4000,21593308
2022-01-10,1000.0000,1059.1000,980.0000,1058.1200,30604959
2022-01-07,1080.3700,1080.9299,1010.0000,1026.9600,28054916
2022-01-06,1077.0000,1088.0000,1020.5000,1064.7000,30112158
2022-01-05,1146.6500,1170.3400,1081.0101,1088.1200,26706599
2022-01-04,1189.5500,1208.0000,1123.0500,1149.5900,33416086
2022-01-03,1147.7500,1201.0700,1136.0400,1199.7800,34895349
2021-12-31,1073.4444,1081.9999,1054.5900,1056.7800,13466216
2021-12-30,1061.3300,1095.5500,1053.1500,1070.3400,15680313
2021-12-29,1098.6400,1104.0000,1064.1400,1086.1900,18718015
2021-12-28,1109.4900,1118.9999,1078.4200,1088.4700,20107969
2021-12-27,1073.6700,1117.0000,1070.7152,1093.9400,23715273
2021-12-23,1006.8000,1072.9767,997.5600,1067.0000,30904429
2021-12-22,965.6600,1015.6599,957.0500,1008.8700,31211362
2021-12-21,916.8700,939.5000,886.1200,938.5300,23839305
2021-12-20,910.7000,921.6884,893.3900,899.9400,18826671
2021-12-17,914.7700,960.6599,909.0401,932.5700,33626754
2021-12-16,994.5000,994.9800,921.8500,926.9200,27590483
2021-12-15,953.2100,978.7499,928.2501,975.9900,25056410
2021-12-14,945.0000,966.4100,930.0000,958.5100,23602090
2021-12-13,1001.0900,1005.0000,951.4200,966.4100,26198502
2021-12-10,1008.7500,1020.9797,982.5300,1017.0300,19888122
2021-12-09,1060.6400,1062.4900,1002.3600,1003.8000,19812832
2021-12-08,1052.7100,1072.3800,1033.0001,1068.9600,13968790
2021-12-07,1044.2000,1057.6739,1026.8100,1051.7500,18694857
2021-12-06,1001.5100,1021.6400,950.5000,1009.0100,27221037
2021-12-03,1084.7900,1090.5753,1000.2100,1014.9700,30773995
2021-12-02,1099.0600,1113.0000,1056.6500,1084.6000,24371623
2021-12-01,1160.6950,1172.8399,1090.7600,1095.0000,22934698
2021-11-30,1144.3700,1168.0000,1118.0000,1144.7600,27092038
2021-11-29,1100.9900,1142.6700,1100.1900,1136.9900,19464467
2021-11-26,1099.4700,1108.7827,1081.0000,1081.9200,11680890
2021-11-24,1080.3900,1132.7700,1062.0000,1116.0000,22560238
2021-11-23,1167.5100,1180.4999,1062.7000,1109.0300,36171700
2021-11-22,1162.3300,1201.9500,1132.4300,1156.8700,33072509
2021-11-19,1098.8700,1138.7199,1092.7000,1137.0600,21642258
2021-11-18,1106.5500,1112.0000,1075.0200,1096.3800,20898930
2021-11-17,1063.5100,1119.6400,1055.5000,1089.0100,31445365
2021-11-16,1003.3100,1057.1999,1002.1800,1054.7300,26542359
2021-11-15,1017.6300,1031.9800,978.6000,1013.3900,34775649
2021-11-12,1047.5000,1054.5000,1019.2000,1033.4200,25147852
